candidate,fold_idx,train_start,train_end,test_start,test_end,chosen_params,oos_pf,oos_avg_trade_pct,oos_trades,oos_return_pct,oos_maxdd_pct
st-donchexit::long,0,2020-01-01,2021-12-31,2022-01-01,2022-06-30,"{""_st_long_only"": true, ""st_period"": 10, ""st_multiplier"": 3.5, ""st_donch_period"": 20}",0.3606455381480647,-1.9915770196818894,9,-10.76311528338727,-13.502560134157516
st-donchexit::long,1,2020-07-01,2022-06-30,2022-07-01,2022-12-31,"{""_st_long_only"": true, ""st_period"": 14, ""st_multiplier"": 3.5, ""st_donch_period"": 20}",0.24104692430392582,-1.432584377722812,11,-12.263177896803413,-16.68305434259404
st-donchexit::long,2,2021-01-01,2022-12-31,2023-01-01,2023-06-30,"{""_st_long_only"": true, ""st_period"": 14, ""st_multiplier"": 2.5, ""st_donch_period"": 20}",2.155110042929121,1.5153909955324618,15,19.68715869267075,-20.219214954729956
st-donchexit::long,3,2021-07-01,2023-06-30,2023-07-01,2023-12-31,"{""_st_long_only"": true, ""st_period"": 10, ""st_multiplier"": 2.5, ""st_donch_period"": 20}",1.3472820235808962,0.27442629571017285,17,16.017751271008063,-16.059899832268986
st-donchexit::long,4,2022-01-01,2023-12-31,2024-01-01,2024-06-30,"{""_st_long_only"": true, ""st_period"": 10, ""st_multiplier"": 2.5, ""st_donch_period"": 20}",1.9373535551133974,0.9693575052911241,15,21.56449231312112,-22.558092097594983
st-donchexit::long,5,2022-07-01,2024-06-30,2024-07-01,2024-12-31,"{""_st_long_only"": true, ""st_period"": 10, ""st_multiplier"": 3.5, ""st_donch_period"": 20}",2.097436126987855,1.5748880820755762,11,14.084400281894883,-15.39699458558773
st-donchexit::long,6,2023-01-01,2024-12-31,2025-01-01,2025-06-30,"{""_st_long_only"": true, ""st_period"": 10, ""st_multiplier"": 3.5, ""st_donch_period"": 20}",0.23755468482875475,-1.346628616171286,12,-11.709069694640517,-21.64537888078576
st-donchexit::long,7,2023-07-01,2025-06-30,2025-07-01,2025-12-31,"{""_st_long_only"": true, ""st_period"": 10, ""st_multiplier"": 3.5, ""st_donch_period"": 20}",0.5284732419182901,-0.7974910586521222,10,-3.1630430988371483,-14.635259917600008
st-adx-donchexit::long,0,2020-01-01,2021-12-31,2022-01-01,2022-06-30,"{""_st_long_only"": true, ""st_period"": 10, ""st_multiplier"": 3.5, ""st_adx_min"": 25, ""st_donch_period"": 20}",0.0,-3.1914936664512727,3,-5.859545514313391,-5.82681302047644
st-adx-donchexit::long,1,2020-07-01,2022-06-30,2022-07-01,2022-12-31,"{""_st_long_only"": true, ""st_period"": 14, ""st_multiplier"": 3.5, ""st_adx_min"": 25, ""st_donch_period"": 20}",0.0,-1.892457831122607,2,-3.0350082533195155,-6.9890603455980305
st-adx-donchexit::long,2,2021-01-01,2022-12-31,2023-01-01,2023-06-30,"{""_st_long_only"": true, ""st_period"": 10, ""st_multiplier"": 2.5, ""st_adx_min"": 25, ""st_donch_period"": 20}",3.225848247933642,2.8814867846359116,7,15.27290256166378,-13.074159045987821
st-adx-donchexit::long,3,2021-07-01,2023-06-30,2023-07-01,2023-12-31,"{""_st_long_only"": true, ""st_period"": 10, ""st_multiplier"": 3.5, ""st_adx_min"": 20, ""st_donch_period"": 20}",2.86548094148413,2.101071524333964,7,26.709008478347474,-11.236389734578822
st-adx-donchexit::long,4,2022-01-01,2023-12-31,2024-01-01,2024-06-30,"{""_st_long_only"": true, ""st_period"": 10, ""st_multiplier"": 3.5, ""st_adx_min"": 25, ""st_donch_period"": 20}",11.104572757509036,11.903120068249784,3,32.22656280285881,-12.937621525966303
st-adx-donchexit::long,5,2022-07-01,2024-06-30,2024-07-01,2024-12-31,"{""_st_long_only"": true, ""st_period"": 10, ""st_multiplier"": 3.5, ""st_adx_min"": 25, ""st_donch_period"": 20}",0.9085693700157228,-0.31634685695860476,3,1.7545678895240169,-5.211315619618661
st-adx-donchexit::long,6,2023-01-01,2024-12-31,2025-01-01,2025-06-30,"{""_st_long_only"": true, ""st_period"": 10, ""st_multiplier"": 3.5, ""st_adx_min"": 25, ""st_donch_period"": 20}",0.22076817242062566,-1.9820030965063684,5,-5.6932128289637784,-8.02435347388667
st-adx-donchexit::long,7,2023-07-01,2025-06-30,2025-07-01,2025-12-31,"{""_st_long_only"": true, ""st_period"": 10, ""st_multiplier"": 3.0, ""st_adx_min"": 20, ""st_donch_period"": 20}",0.8591549366631633,-0.2954595970323659,7,3.9928745438583935,-12.14193400339375
st-trail::long,0,2020-01-01,2021-12-31,2022-01-01,2022-06-30,"{""_st_long_only"": true, ""st_period"": 14, ""st_multiplier"": 3.5, ""st_trail_atr"": 4.0, ""st_adx_min"": 20}",0.5194957465802983,-1.494857059515875,6,-4.936435835436869,-7.099319131603032
st-trail::long,1,2020-07-01,2022-06-30,2022-07-01,2022-12-31,"{""_st_long_only"": true, ""st_period"": 14, ""st_multiplier"": 3.5, ""st_trail_atr"": 4.0, ""st_adx_min"": 20}",0.008715932239444594,-1.8696334907547296,4,-6.140320767274798,-9.933933046462363
st-trail::long,2,2021-01-01,2022-12-31,2023-01-01,2023-06-30,"{""_st_long_only"": true, ""st_period"": 10, ""st_multiplier"": 3.5, ""st_trail_atr"": 3.0, ""st_adx_min"": 20}",2.162233069495349,1.2504833654461311,6,3.451736141714634,-10.314976247703644
st-trail::long,3,2021-07-01,2023-06-30,2023-07-01,2023-12-31,"{""_st_long_only"": true, ""st_period"": 10, ""st_multiplier"": 2.5, ""st_trail_atr"": 3.0, ""st_adx_min"": 20}",0.6035745501312052,-0.521656280101146,8,-1.8555948893703489,-6.753106638443784
st-trail::long,4,2022-01-01,2023-12-31,2024-01-01,2024-06-30,"{""_st_long_only"": true, ""st_period"": 10, ""st_multiplier"": 2.5, ""st_trail_atr"": 3.0, ""st_adx_min"": 20}",0.35630535246970263,-0.8451294475599558,8,-4.980233003186485,-8.695620841751117
st-trail::long,5,2022-07-01,2024-06-30,2024-07-01,2024-12-31,"{""_st_long_only"": true, ""st_period"": 14, ""st_multiplier"": 3.5, ""st_trail_atr"": 4.0, ""st_adx_min"": 20}",2.1482651437351894,1.9401476040516341,7,13.16743099020854,-11.348542042014365
st-trail::long,6,2023-01-01,2024-12-31,2025-01-01,2025-06-30,"{""_st_long_only"": true, ""st_period"": 10, ""st_multiplier"": 3.5, ""st_trail_atr"": 4.0, ""st_adx_min"": 20}",0.23453616342341702,-1.5660986475962813,7,-7.158018603898631,-13.552848361486081
st-trail::long,7,2023-07-01,2025-06-30,2025-07-01,2025-12-31,"{""_st_long_only"": true, ""st_period"": 10, ""st_multiplier"": 3.0, ""st_trail_atr"": 4.0, ""st_adx_min"": 20}",1.0761951632606765,0.04687075920901673,7,7.415229474899809,-12.2346933824643
